"teams.Attack","teams.Defence","teams.beta","home"
"Arsenal",0,-0.458996311788657,1.40263157894737,0.268009306830171
"Aston Villa",-0.691030145538133,-0.500962603250765,1.40263157894737,0.268009306830171
"Blackburn",-0.40518435322299,-0.899362737567801,1.40263157894737,0.268009306830171
"Bolton",-0.448914506558861,-0.884386762940477,1.40263157894737,0.268009306830171
"Chelsea",-0.133119146395171,-0.386572464917854,1.40263157894737,0.268009306830171
"Everton",-0.402024743422329,-0.231686824088511,1.40263157894737,0.268009306830171
"Fulham",-0.432158488290475,-0.473189920401695,1.40263157894737,0.268009306830171
"Liverpool",-0.464013615962373,-0.228766932171832,1.40263157894737,0.268009306830171
"Man City",0.209099621430882,0.0480458400437031,1.40263157894737,0.268009306830171
"Man United",0.169042964040229,-0.0775026016715816,1.40263157894737,0.268009306830171
"Newcastle",-0.27761003449881,-0.481099214166761,1.40263157894737,0.268009306830171
"Norwich",-0.336964603047855,-0.735737846995856,1.40263157894737,0.268009306830171
"QPR",-0.527600423975678,-0.726737353698839,1.40263157894737,0.268009306830171
"Stoke",-0.718479332183595,-0.499988365166353,1.40263157894737,0.268009306830171
"Sunderland",-0.501737091197886,-0.366842443679693,1.40263157894737,0.268009306830171
"Swansea",-0.519366230836627,-0.469261055564032,1.40263157894737,0.268009306830171
"Tottenham",-0.12278360134045,-0.272174805636852,1.40263157894737,0.268009306830171
"West Brom",-0.495862762894162,-0.489703029790785,1.40263157894737,0.268009306830171
"Wigan",-0.555162734927664,-0.663057824608434,1.40263157894737,0.268009306830171
"Wolves",-0.584112300605479,-0.941460473252908,1.40263157894737,0.268009306830171
