"teams.Attack","teams.Defence","teams.beta","home"
"Arsenal",0,-0.173489485347232,1.28289473684211,0.299658263481174
"Aston Villa",-0.808093304493377,-0.590894960576564,1.28289473684211,0.299658263481174
"Burnley",-0.914335096531936,-0.514797823013015,1.28289473684211,0.299658263481174
"Chelsea",0.0234802411896958,-0.0575523644141133,1.28289473684211,0.299658263481174
"Crystal Palace",-0.397402985932372,-0.496658809779889,1.28289473684211,0.299658263481174
"Everton",-0.37737571261735,-0.47788584314281,1.28289473684211,0.299658263481174
"Hull",-0.751868318216326,-0.481589612741838,1.28289473684211,0.299658263481174
"Leicester",-0.414622004073096,-0.57129824428289,1.28289473684211,0.299658263481174
"Liverpool",-0.299275751362064,-0.441293221403654,1.28289473684211,0.299658263481174
"Man City",0.158914112454121,-0.241016741606293,1.28289473684211,0.299658263481174
"Man United",-0.134844216583092,-0.191143903011471,1.28289473684211,0.299658263481174
"Newcastle",-0.546079107255944,-0.700964205406676,1.28289473684211,0.299658263481174
"QPR",-0.486127728168307,-0.850982618771257,1.28289473684211,0.299658263481174
"Southampton",-0.277634382099917,-0.0678347333786204,1.28289473684211,0.299658263481174
"Stoke",-0.382786805220021,-0.37224498615446,1.28289473684211,0.299658263481174
"Sunderland",-0.812372248242563,-0.517993984464475,1.28289473684211,0.299658263481174
"Swansea",-0.42113475262695,-0.455461078876416,1.28289473684211,0.299658263481174
"Tottenham",-0.184236728438625,-0.547285815589561,1.28289473684211,0.299658263481174
"West Brom",-0.610498062177583,-0.48694246726904,1.28289473684211,0.299658263481174
"West Ham",-0.46785596425054,-0.411525901133552,1.28289473684211,0.299658263481174
