Man United,MUFC,manutd,reddevils,thereddevils
Man City,MCFC,Blues,theblues,citizens
Arsenal,Arsenal,gunners
Chelsea,CFC,chelsea,upthechels,thepensioners
Liverpool,LFC,reds,thereds,ynwa
West Ham,WHUFC,hammers
Leicester,LCFC,thefoxes
Everton,EFC,everton,coyb,thetoffees,toffees,theschoolofscience,thepeoplesclub
Swansea,Swans,swanseacity
Crystal Palace,CPFC,eagles,glaziers
Tottenham,coys,spurs,lilywhites
Watford,WatfordFC,wfc
Norwich City,NCFC,norwich,yellowarmy,otbc
West Brom,WBA,baggies,thebaggies,albion,TheThrostlesAlbion
Bournemouth,AFCB,boscombe,thecherries
Southampton,SaintsFC,southampton
Aston Villa,AVFC,villa,villians,theclaretandblue,claretAndBlue,lions,thelions
Stoke,SCFC,stoke,potters
Newcastle,NUFC,newcastle,magpies,thetoon
Sunderland,SAFC,sunderland,theblackcats
