"teams.Attack","teams.Defence","teams.beta","home"
"Arsenal",0,-0.192111637058133,1.38421052631579,0.275493555877203
"Aston Villa",-0.537331272551707,-0.561341438198323,1.38421052631579,0.275493555877203
"Cardiff",-0.722591127051014,-0.747974142972273,1.38421052631579,0.275493555877203
"Chelsea",0.0292249380806166,0.223590430636403,1.38421052631579,0.275493555877203
"Crystal Palace",-0.717573267419338,-0.315271643655537,1.38421052631579,0.275493555877203
"Everton",-0.110925973818524,-0.134936138902522,1.38421052631579,0.275493555877203
"Fulham",-0.487605014078439,-0.895104546380649,1.38421052631579,0.275493555877203
"Hull",-0.571324674923132,-0.419459888883005,1.38421052631579,0.275493555877203
"Liverpool",0.406528131975215,-0.425519340420303,1.38421052631579,0.275493555877203
"Man City",0.402750352457519,-0.124012759432482,1.38421052631579,0.275493555877203
"Man United",-0.0587772407097527,-0.235837841517924,1.38421052631579,0.275493555877203
"Newcastle",-0.441455249634987,-0.531927894548075,1.38421052631579,0.275493555877203
"Norwich",-0.868361594461781,-0.566696252200614,1.38421052631579,0.275493555877203
"Southampton",-0.22611145988311,-0.293416336458627,1.38421052631579,0.275493555877203
"Stoke",-0.402879935879142,-0.407326479511865,1.38421052631579,0.275493555877203
"Sunderland",-0.488200627488266,-0.546773454614008,1.38421052631579,0.275493555877203
"Swansea",-0.218073495604387,-0.454193916404258,1.38421052631579,0.275493555877203
"Tottenham",-0.202695521670998,-0.397877939792259,1.38421052631579,0.275493555877203
"West Brom",-0.441455250043586,-0.531927894538518,1.38421052631579,0.275493555877203
"West Ham",-0.521910381409087,-0.382898061768026,1.38421052631579,0.275493555877203
