"teams.Attack","teams.Defence","teams.beta","home"
"Arsenal",0,-0.160443903863066,1.39868421052632,0.228648540863249
"Aston Villa",-0.395793035896657,-0.760495312948546,1.39868421052632,0.228648540863249
"Chelsea",0.0429357225681156,-0.216234292513894,1.39868421052632,0.228648540863249
"Everton",-0.267002965781239,-0.221763724632589,1.39868421052632,0.228648540863249
"Fulham",-0.342743639767484,-0.62330293911815,1.39868421052632,0.228648540863249
"Liverpool",-0.00802524605344294,-0.310153860438789,1.39868421052632,0.228648540863249
"Man City",-0.0901977526647768,-0.0697289445407381,1.39868421052632,0.228648540863249
"Man United",0.184299713745461,-0.325324870093633,1.39868421052632,0.228648540863249
"Newcastle",-0.440419511446691,-0.743842782686341,1.39868421052632,0.228648540863249
"Norwich",-0.54370230706827,-0.580376435434592,1.39868421052632,0.228648540863249
"QPR",-0.85473763226037,-0.603545568528866,1.39868421052632,0.228648540863249
"Reading",-0.481005168914528,-0.813008113947359,1.39868421052632,0.228648540863249
"Southampton",-0.363005974318956,-0.62230458030833,1.39868421052632,0.228648540863249
"Stoke",-0.743949546926866,-0.3192973964906,1.39868421052632,0.228648540863249
"Sunderland",-0.547641084914065,-0.508758805500062,1.39868421052632,0.228648540863249
"Swansea",-0.413713787346529,-0.457378182787243,1.39868421052632,0.228648540863249
"Tottenham",-0.0782669968685674,-0.372790678785323,1.39868421052632,0.228648540863249
"West Brom",-0.287296957317176,-0.574852763368729,1.39868421052632,0.228648540863249
"West Ham",-0.455328041282676,-0.493961969732531,1.39868421052632,0.228648540863249
"Wigan",-0.391762209135782,-0.817038516064978,1.39868421052632,0.228648540863249
