"teams.Attack","teams.Defence","teams.beta","home"
"Arsenal",0,-0.446430186039278,1.34166666666667,0.389727011664443
"Aston Villa",-0.210844381675201,0.0956112565425089,1.34166666666667,0.389727011664443
"Blackburn",0.0366887684195112,-0.94325387672344,1.34166666666667,0.389727011664443
"Bolton",0.0358288001052712,-0.480754148577424,1.34166666666667,0.389727011664443
"Chelsea",0.616717084147498,0.206461753894028,1.34166666666667,0.389727011664443
"Everton",-0.329256174920106,0.174953189466346,1.34166666666667,0.389727011664443
"Fulham",-0.795293067846992,-0.0450046456479466,1.34166666666667,0.389727011664443
"Liverpool",-0.0795998014255021,-0.0729572613091209,1.34166666666667,0.389727011664443
"Man City",0.878920614997071,0.241405425847362,1.34166666666667,0.389727011664443
"Man United",0.990571054541325,0.412558267925116,1.34166666666667,0.389727011664443
"Newcastle",-0.433320539112365,0.760132669685894,1.34166666666667,0.389727011664443
"Norwich",-0.0249715276119216,-0.0776141248907986,1.34166666666667,0.389727011664443
"QPR",-0.413521737571814,-0.297862498233784,1.34166666666667,0.389727011664443
"Stoke",-0.510227953042178,0.44590819100677,1.34166666666667,0.389727011664443
"Sunderland",0.172453621781382,0.109326604207116,1.34166666666667,0.389727011664443
"Swansea",-0.628171172250462,0.107767728496452,1.34166666666667,0.389727011664443
"Tottenham",0.454849404096802,-0.00583617177781111,1.34166666666667,0.389727011664443
"West Brom",-0.735462911079456,0.084852177573001,1.34166666666667,0.389727011664443
"Wigan",-0.530811097834614,-0.114013933261423,1.34166666666667,0.389727011664443
"Wolves",-0.649353178909893,-0.165473501114011,1.34166666666667,0.389727011664443
