08/08/15#Man United#Tottenham#1#0#1
08/08/15#Bournemouth#Aston Villa#0#1#1
08/08/15#Everton#Watford#2#2#1
08/08/15#Leicester#Sunderland#4#2#1
08/08/15#Norwich#Crystal Palace#1#3#1
08/08/15#Chelsea#Swansea#2#2#1
09/08/15#Arsenal#West Ham#0#2#1
09/08/15#Newcastle#Southampton#2#2#1
09/08/15#Stoke#Liverpool#0#1#1
10/08/15#West Brom#Man City#0#3#1
14/08/15#Aston Villa#Man United#0#1#2
15/08/15#Southampton#Everton#0#3#2
15/08/15#Sunderland#Norwich#1#3#2
15/08/15#Swansea#Newcastle#2#0#2
15/08/15#Tottenham#Stoke#2#2#2
15/08/15#Watford#West Brom#0#0#2
15/08/15#West Ham#Leicester#1#2#2
16/08/15#Crystal Palace#Arsenal#1#2#2
16/08/15#Man City#Chelsea#3#0#2
17/08/15#Liverpool#Bournemouth#1#0#2
22/08/15#Man United#Newcastle#0#0#3
22/08/15#Crystal Palace#Aston Villa#2#1#3
22/08/15#Leicester#Tottenham#1#1#3
22/08/15#Norwich#Stoke#1#1#3
22/08/15#Sunderland#Swansea#1#1#3
22/08/15#West Ham#Bournemouth#3#4#3
23/08/15#West Brom#Chelsea#2#3#3
23/08/15#Everton#Man City#0#2#3
23/08/15#Watford#Southampton#0#0#3
24/08/15#Arsenal#Liverpool#0#0#3
29/08/15#Newcastle#Arsenal#0#1#4
29/08/15#Bournemouth#Leicester#1#1#4
29/08/15#Aston Villa#Sunderland#2#2#4
29/08/15#Chelsea#Crystal Palace#1#2#4
29/08/15#Liverpool#West Ham#0#3#4
29/08/15#Man City#Watford#2#0#4
29/08/15#Stoke#West Brom#0#1#4
29/08/15#Tottenham#Everton#0#0#4
30/08/15#Southampton#Norwich#3#0#4
30/08/15#Swansea#Man United#2#1#4
12/09/15#Everton#Chelsea#3#1#5
12/09/15#Arsenal#Stoke#2#0#5
12/09/15#Crystal Palace#Man City#0#1#5
12/09/15#Norwich#Bournemouth#3#1#5
12/09/15#Watford#Swansea#1#0#5
12/09/15#West Brom#Southampton#0#0#5
12/09/15#Man United#Liverpool#3#1#5
13/09/15#Sunderland#Tottenham#0#1#5
13/09/15#Leicester#Aston Villa#3#2#5
14/09/15#West Ham#Newcastle#2#0#5
19/09/15#Chelsea#Arsenal#2#0#6
19/09/15#Bournemouth#Sunderland#2#0#6
19/09/15#Aston Villa#West Brom#0#1#6
19/09/15#Newcastle#Watford#1#2#6
19/09/15#Stoke#Leicester#2#2#6
19/09/15#Swansea#Everton#0#0#6
19/09/15#Man City#West Ham#1#2#6
20/09/15#Tottenham#Crystal Palace#1#0#6
20/09/15#Liverpool#Norwich#1#1#6
20/09/15#Southampton#Man United#2#3#6
26/09/15#Tottenham#Man City#4#1#7
26/09/15#Leicester#Arsenal#2#5#7
26/09/15#Liverpool#Aston Villa#3#2#7
26/09/15#Man United#Sunderland#3#0#7
26/09/15#Southampton#Swansea#3#1#7
26/09/15#Stoke#Bournemouth#2#1#7
26/09/15#West Ham#Norwich#2#2#7
26/09/15#Newcastle#Chelsea#2#2#7
27/09/15#Watford#Crystal Palace#0#1#7
28/09/15#West Brom#Everton#2#3#7
03/10/15#Bournemouth#Watford#1#1#8
03/10/15#Arsenal#Man United#3#0#8
03/10/15#Aston Villa#Stoke#0#1#8
03/10/15#Chelsea#Southampton#1#3#8
03/10/15#Crystal Palace#West Brom#2#0#8
03/10/15#Everton#Liverpool#1#1#8
03/10/15#Man City#Newcastle#6#1#8
03/10/15#Norwich#Leicester#1#2#8
03/10/15#Sunderland#West Ham#2#2#8
03/10/15#Swansea#Tottenham#2#2#8
17/10/15#Chelsea#Aston Villa#2#0#9
17/10/15#Crystal Palace#West Ham#1#3#9
17/10/15#Everton#Man United#0#3#9
17/10/15#Man City#Bournemouth#5#1#9
17/10/15#Newcastle#Norwich#6#2#9
17/10/15#Southampton#Leicester#2#2#9
17/10/15#Swansea#Stoke#0#1#9
17/10/15#Tottenham#Liverpool#0#0#9
17/10/15#Watford#Arsenal#0#3#9
17/10/15#West Brom#Sunderland#1#0#9
24/10/15#Bournemouth#Tottenham#1#5#10
24/10/15#Arsenal#Everton#2#1#10
24/10/15#Aston Villa#Swansea#1#2#10
24/10/15#Leicester#Crystal Palace#1#0#10
24/10/15#Liverpool#Southampton#1#1#10
24/10/15#Man United#Man City#0#0#10
24/10/15#Norwich#West Brom#0#1#10
24/10/15#Stoke#Watford#0#2#10
24/10/15#Sunderland#Newcastle#3#0#10
24/10/15#West Ham#Chelsea#2#1#10
31/10/15#Chelsea#Liverpool#1#3#11
31/10/15#Crystal Palace#Man United#0#0#11
31/10/15#Everton#Sunderland#6#2#11
31/10/15#Man City#Norwich#2#1#11
31/10/15#Newcastle#Stoke#0#0#11
31/10/15#Southampton#Bournemouth#2#0#11
31/10/15#Swansea#Arsenal#0#3#11
31/10/15#Tottenham#Aston Villa#3#1#11
31/10/15#Watford#West Ham#2#0#11
31/10/15#West Brom#Leicester#2#3#11
07/11/15#Bournemouth#Newcastle#0#1#12
07/11/15#Arsenal#Tottenham#1#1#12
07/11/15#Aston Villa#Man City#0#0#12
07/11/15#Leicester#Watford#2#1#12
07/11/15#Liverpool#Crystal Palace#1#2#12
07/11/15#Man United#West Brom#2#0#12
07/11/15#Norwich#Swansea#1#0#12
07/11/15#Stoke#Chelsea#1#0#12
07/11/15#Sunderland#Southampton#0#1#12
07/11/15#West Ham#Everton#1#1#12
21/11/15#Chelsea#Norwich#1#0#13
21/11/15#Crystal Palace#Sunderland#-1#-1#13
21/11/15#Everton#Aston Villa#4#0#13
21/11/15#Man City#Liverpool#1#4#13
21/11/15#Newcastle#Leicester#0#3#13
21/11/15#Southampton#Stoke#0#1#13
21/11/15#Swansea#Bournemouth#2#2#13
21/11/15#Tottenham#West Ham#-1#-1#13
21/11/15#Watford#Man United#1#2#13
21/11/15#West Brom#Arsenal#2#1#13
28/11/15#Bournemouth#Everton#-1#-1#14
28/11/15#Aston Villa#Watford#-1#-1#14
28/11/15#Crystal Palace#Newcastle#-1#-1#14
28/11/15#Leicester#Man United#-1#-1#14
28/11/15#Liverpool#Swansea#-1#-1#14
28/11/15#Man City#Southampton#-1#-1#14
28/11/15#Norwich#Arsenal#-1#-1#14
28/11/15#Sunderland#Stoke#-1#-1#14
28/11/15#Tottenham#Chelsea#-1#-1#14
28/11/15#West Ham#West Brom#-1#-1#14
05/12/15#Arsenal#Sunderland#-1#-1#15
05/12/15#Chelsea#Bournemouth#-1#-1#15
05/12/15#Everton#Crystal Palace#-1#-1#15
05/12/15#Man United#West Ham#-1#-1#15
05/12/15#Newcastle#Liverpool#-1#-1#15
05/12/15#Southampton#Aston Villa#-1#-1#15
05/12/15#Stoke#Man City#-1#-1#15
05/12/15#Swansea#Leicester#-1#-1#15
05/12/15#Watford#Norwich#-1#-1#15
05/12/15#West Brom#Tottenham#-1#-1#15
12/12/15#Bournemouth#Man United#-1#-1#16
12/12/15#Aston Villa#Arsenal#-1#-1#16
12/12/15#Crystal Palace#Southampton#-1#-1#16
12/12/15#Leicester#Chelsea#-1#-1#16
12/12/15#Liverpool#West Brom#-1#-1#16
12/12/15#Man City#Swansea#-1#-1#16
12/12/15#Norwich#Everton#-1#-1#16
12/12/15#Sunderland#Watford#-1#-1#16
12/12/15#Tottenham#Newcastle#-1#-1#16
12/12/15#West Ham#Stoke#-1#-1#16
19/12/15#Arsenal#Man City#-1#-1#17
19/12/15#Chelsea#Sunderland#-1#-1#17
19/12/15#Everton#Leicester#-1#-1#17
19/12/15#Man United#Norwich#-1#-1#17
19/12/15#Newcastle#Aston Villa#-1#-1#17
19/12/15#Southampton#Tottenham#-1#-1#17
19/12/15#Stoke#Crystal Palace#-1#-1#17
19/12/15#Swansea#West Ham#-1#-1#17
19/12/15#Watford#Liverpool#-1#-1#17
19/12/15#West Brom#Bournemouth#-1#-1#17
26/12/15#Bournemouth#Crystal Palace#-1#-1#18
26/12/15#Aston Villa#West Ham#-1#-1#18
26/12/15#Chelsea#Watford#-1#-1#18
26/12/15#Liverpool#Leicester#-1#-1#18
26/12/15#Man City#Sunderland#-1#-1#18
26/12/15#Newcastle#Everton#-1#-1#18
26/12/15#Southampton#Arsenal#-1#-1#18
26/12/15#Stoke#Man United#-1#-1#18
26/12/15#Swansea#West Brom#-1#-1#18
26/12/15#Tottenham#Norwich#-1#-1#18
28/12/15#Arsenal#Bournemouth#-1#-1#19
28/12/15#Crystal Palace#Swansea#-1#-1#19
28/12/15#Everton#Stoke#-1#-1#19
28/12/15#Leicester#Man City#-1#-1#19
28/12/15#Man United#Chelsea#-1#-1#19
28/12/15#Norwich#Aston Villa#-1#-1#19
28/12/15#Sunderland#Liverpool#-1#-1#19
28/12/15#Watford#Tottenham#-1#-1#19
