"teams.Attack","teams.Defence","teams.beta","home"
"Arsenal",0,-0.261972135910598,1.39868421052632,0.324550071878302
"Aston Villa",-0.390693902914949,-0.555281784400288,1.39868421052632,0.324550071878302
"Birmingham",-0.652592462920457,-0.527274025900659,1.39868421052632,0.324550071878302
"Blackburn",-0.433369748463436,-0.553294122723999,1.39868421052632,0.324550071878302
"Blackpool",-0.234891970501565,-0.842514731836872,1.39868421052632,0.324550071878302
"Bolton",-0.313410463363746,-0.506929877096291,1.39868421052632,0.324550071878302
"Chelsea",-0.0526340943466304,0.006406714476068,1.39868421052632,0.324550071878302
"Everton",-0.343763028091485,-0.286697765400465,1.39868421052632,0.324550071878302
"Fulham",-0.385814817931462,-0.239177412749968,1.39868421052632,0.324550071878302
"Liverpool",-0.198692181943282,-0.272065827840114,1.39868421052632,0.324550071878302
"Man City",-0.192683158414375,0.0152648480595652,1.39868421052632,0.324550071878302
"Man United",0.0742637609082802,-0.117258128236704,1.39868421052632,0.324550071878302
"Newcastle",-0.238078800121794,-0.528678680769517,1.39868421052632,0.324550071878302
"Stoke",-0.444224873583385,-0.346466100967923,1.39868421052632,0.324550071878302
"Sunderland",-0.458376604672305,-0.499984217680172,1.39868421052632,0.324550071878302
"Tottenham",-0.267093287277933,-0.312671047029579,1.39868421052632,0.324550071878302
"West Brom",-0.22394411548053,-0.749103561927155,1.39868421052632,0.324550071878302
"West Ham",-0.49003573891587,-0.721746040380538,1.39868421052632,0.324550071878302
"Wigan",-0.571503005809762,-0.580771802270319,1.39868421052632,0.324550071878302
"Wolves",-0.426394063192926,-0.665730281279596,1.39868421052632,0.324550071878302
