"teams.Attack","teams.Defence","teams.beta","home"
"Arsenal",0,-0.429500454959894,1.40833333333333,0.182875934439628
"Aston Villa",-1.32091010589401,-0.160523941599304,1.40833333333333,0.182875934439628
"Burnley",-2.55683269262401,-0.282417865804833,1.40833333333333,0.182875934439628
"Chelsea",0.727985542148744,-0.575453701710457,1.40833333333333,0.182875934439628
"Crystal Palace",-0.219596020983899,-0.83530072031707,1.40833333333333,0.182875934439628
"Everton",0.00232503914786321,-0.770295119103348,1.40833333333333,0.182875934439628
"Hull",-0.357229840866874,-1.28856049232269,1.40833333333333,0.182875934439628
"Leicester",-0.404156967721287,-0.388576735974209,1.40833333333333,0.182875934439628
"Liverpool",-0.224934898057298,-0.67696342314058,1.40833333333333,0.182875934439628
"Man City",-0.180924626008332,-0.198140507473111,1.40833333333333,0.182875934439628
"Man United",-0.0816832010734988,-1.08327492682576,1.40833333333333,0.182875934439628
"Newcastle",-0.888960829269136,-1.10585790267868,1.40833333333333,0.182875934439628
"QPR",-1.22956803285998,-1.14241135152784,1.40833333333333,0.182875934439628
"Southampton",-0.279595894306209,0.0115945565466674,1.40833333333333,0.182875934439628
"Stoke",-1.08449791692746,-0.345716821009255,1.40833333333333,0.182875934439628
"Sunderland",-0.958314490407311,-0.536348920829671,1.40833333333333,0.182875934439628
"Swansea",-0.350706086895291,-0.0704429906971251,1.40833333333333,0.182875934439628
"Tottenham",-0.522396324424625,-0.489392633473238,1.40833333333333,0.182875934439628
"West Brom",-0.349854370550691,-0.577566970810917,1.40833333333333,0.182875934439628
"West Ham",-0.364343661939699,-0.681576306836448,1.40833333333333,0.182875934439628
