"teams.Attack","teams.Defence","teams.beta","home"
"Arsenal",0,-0.718631058680251,1.13333333333333,0.244346191125289
"Aston Villa",-0.149461953999335,-0.420222167879006,1.13333333333333,0.244346191125289
"Cardiff",-0.490981937283617,-0.490268238220884,1.13333333333333,0.244346191125289
"Chelsea",-0.400356730460215,0.390511558313732,1.13333333333333,0.244346191125289
"Crystal Palace",-1.15564422435572,-1.11348079340937,1.13333333333333,0.244346191125289
"Everton",-0.0764016800007809,-0.507836375893047,1.13333333333333,0.244346191125289
"Fulham",-1.21284653170324,-0.785299922340382,1.13333333333333,0.244346191125289
"Hull",-0.52928341266066,-0.389164896555141,1.13333333333333,0.244346191125289
"Liverpool",-0.471637924513809,-0.0443523095751312,1.13333333333333,0.244346191125289
"Man City",0.220754951021328,-0.509261474779711,1.13333333333333,0.244346191125289
"Man United",-0.358635192396233,-0.529143739391609,1.13333333333333,0.244346191125289
"Newcastle",-0.469519386011678,-0.75784218446875,1.13333333333333,0.244346191125289
"Norwich",-0.711840149200204,-0.43111518875943,1.13333333333333,0.244346191125289
"Southampton",-1.0919009005231,0.401496532241226,1.13333333333333,0.244346191125289
"Stoke",-1.12948007142558,-0.259253281383562,1.13333333333333,0.244346191125289
"Sunderland",-1.07865809669288,-1.45510666939082,1.13333333333333,0.244346191125289
"Swansea",-0.311175969461404,-0.848926653217527,1.13333333333333,0.244346191125289
"Tottenham",-0.737346996097514,0.777860471228307,1.13333333333333,0.244346191125289
"West Brom",-0.907033879739653,-0.258061774200449,1.13333333333333,0.244346191125289
"West Ham",-0.930164317372619,-0.263816821984007,1.13333333333333,0.244346191125289
